17,NYC,AM,BKLYN,signal problems,2/28/2019,2/28/2019 5:44:24 AM,Northbound 2 and 4 trains are running at slower speeds because of signal problems at Eastern Parkway-Brooklyn Museum.,bklyn 2 and 4 trains signal problems,5:44:24,"2, 4",train,
20,NYC,AM,BX,signal problems,2/28/2019,2/28/2019 5:40:33 AM,Southbound 2 trains are delayed because of switch problems at Allerton Av.,bx 2 trains signal problems,5:40:33,2,train,
14,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 4:45:04 AM,1 trains are proceeding with delays after crews performed switch maintenance at South Ferry.,updated: manh 1 trains switch maintenance,4:45:04,1,train,
18,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 4:32:08 AM,Northbound 2 trains are once again running local from 72 St to 96 St after crews performed switch maintenance at 96 St.,updated: manh 2 trains switch maintenance,4:32:08,2,train,
23,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 4:24:33 AM,1 trains are delayed in both directions while crews perform switch maintenance at South Ferry.,manh 1 trains switch maintenance,4:24:33,1,train,
32,NYC,AM,MANH,track maintenance,2/28/2019,2/28/2019 4:03:49 AM,Woodlawn-bound 4 train service has resumed with delays after crews performed track maintenance at Fulton St.,updated: manh 4 trains track maintenance,4:03:49,4,train,
35,NYC,AM,MANH,switch problems,2/28/2019,2/28/2019 3:57:47 AM,Northbound 2 trains are running express from 72 St to 96 St while crews perform switch maintenance at 96 St.,manh 2 trains switch maintenance,3:57:47,2,train,
40,NYC,AM,BKLYN,,2/28/2019,2/28/2019 3:54:11 AM,Church Av-bound G train service has resumed after crews performed earlier urgent track maintenance at Hoyt-Schermerhorn Sts.,updated: bklyn g trains urgent track repairs,3:54:11,g,,updated
42,NYC,AM,BKLYN,,2/28/2019,2/28/2019 3:51:38 AM,Church Av-bound G trains has resumed after crews performed earlier urgent track maintenance at Hoyt-Schermerhorn Sts.,updated: bklyn g trains urgent track repairs,3:51:38,g,,updated
47,NYC,AM,MANH,track maintenance,2/28/2019,2/28/2019 3:39:32 AM,Woodlawn-bound 4 trains are delayed while crews perform track maintenance at Fulton St.,manh 4 trains track maintenance,3:39:32,4,train,
49,NYC,AM,BKLYN,,2/28/2019,2/28/2019 3:37:36 AM,Church Av-bound G trains are delayed while crews perform urgent track maintenance at Hoyt-Schermerhorn Sts.,bklyn g trains urgent track repairs,3:37:36,g,,
8,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 2:50:46 AM,Southbound G train service has resumed with delays in both directions following temporary track maintenance at Hoyt-Schermerhorn Sts.,updated: bklyn g trains temporary track maintenance,2:50:46,g,train,
14,NYC,AM,BKLYN,fdny,2/28/2019,2/28/2019 2:33:13 AM,Jamaica Center-bound J trains have resumed local service from Marcy Av to Myrtle Av after FDNY extinguished a track fire at Lorimer St.,updated: bklyn j trains fdny activity,2:33:13,j,person,
21,NYC,AM,BKLYN,track maintenance,2/28/2019,2/28/2019 2:17:02 AM,Southbound G trains are delayed while crews perform temporary track maintenance at Hoyt-Schermerhorn Sts.,bklyn g trains temporary track maintenance,2:17:02,g,train,
30,NYC,AM,BKLYN,fdny,2/28/2019,2/28/2019 1:39:45 AM,Jamaica Center-bound J trains are running express from Marcy Av to Myrtle Av while FDNY is on the scene extinguishing a track fire at Lorimer St.,updated: bklyn j trains fdny activity,1:39:45,j,person,
