4,NYC,PM,MANH,brake activation,10/10/2019,10/10/2019 7:15:12 PM,"There are service changes and delays in B, C and D train service while we investigate why a train's brakes were activated at 34 St-Herald Sq. 

Northbound B and D trains are stopping along the C line from W 4 St-Washington Sq to 59 St-Columbus Circle. 

Northbound C trains are making express stops from Canal St to 59 St-Columbus Circle.",manh b c and d trains brakes activated,7:15:12,"B, C, D",,
19,NYC,AM,BKLYN,brake activation,10/10/2019,10/10/2019 1:55:48 AM,Coney Island-bound Q trains are delayed while we investigate why a trains brakes were activated near Kings Highway.,bklyn q trains brakes activated,1:55:48,Q,,
,NYC,AM,MANH,brake activation,10/11/2019,10/11/19 12:30 AM,Bronx-bound 4 and 6 trains are delayed while we investigate why a train's brakes were activated at 14 St-Union Square., Brakes Activated,," 4, 6",,
,NYC,AM,QNS,brake activation,10/11/2019,10/11/19 06:08 AM,179 St-bound F trains are delayed while we investigate why a train's brakes were activated near Sutphin Blvd., Brakes Activated,,F,,
,NYC,AM,QNS,brake activation,10/11/2019,10/11/19 08:13 AM,Northbound F trains are making express stops between Kew Garden and Parsons Blvd while we investigate why a train's brakes were activated at Sutphin Blvd., Brake Activation,,F,,
,NYC,AM,QNS,brake activation,10/11/2019,10/11/19 10:00 AM,Northbound F trains are making express stops between Kew Gardens-Union Tpke and Parsons Blvd while we investigate why a train's brakes were activated at Sutphin Blvd., Brake Activation,,F,,
,NYC,AM,MANH,brake activation,10/11/2019,10/11/19 10:41 AM,Northbound B and C trains are running express from 72 St to 125 St while we investigate why a train's brakes were activated at 125 St., Brake Activation,,"B, C",,
,NYC,AM,BKLYN,brake activation,10/11/2019,10/11/19 11:49 AM,Southbound Q trains are running with delays while we investigate why a train's brakes were activated at Parkside Av., Brakes Activated,,Q,,
23,NYC,PM,MANH,brake activation,10/11/2019,10/11/2019 7:33:10 PM,Northbound A and D trains are running on the local track from 59 St-Columbus Circle to 125 St while we investigate why a train's brakes were activated at 96 St.,manh a and d trains brakes activated,7:33:10,"A, D",,
42,NYC,PM,BKLYN,brake activation,10/11/2019,10/11/2019 7:11:03 PM,Broad St-bound J trains are holding in stations in Brooklyn while we investigate why a train's brakes were activated near Cypress Hills.,bklyn j trains brakes activated,7:11:03,J,,
6,NYC,PM,MANH,brake activation,10/11/2019,10/11/2019 6:51:01 PM,Northbound B and D trains will run on the local track from B'way-Lafayette St to W 4 St-Washington Sq while we investigate why a train's brakes were activated at B'way-Lafayette St.,manh b and d trains brakes activated,6:51:01,"B, D",,
28,NYC,AM,MANH,brake activation,10/12/2019,10/12/2019 5:51:54 AM,Southbound 1 2 and 3 trains are delayed while we investigate why a train's brakes were activated at Times Sq-42 St.,manh 1 2 and 3 trains brakes activated,5:51:54,"1, 2, 3",,
31,NYC,PM,BKLYN,brake activation,10/12/2019,10/12/2019 12:46:19 PM,Manhattan-bound R trains are running on the express track from 59 St to Atlantic Av while we investigate why a train's brakes were activated at 36 St.,bklyn r train brake activation,12:46:19,R,,
28,NYC,AM,MANH,brake activation,10/12/2019,10/12/2019 5:51:54 AM,Southbound 1 2 and 3 trains are delayed while we investigate why a train's brakes were activated at Times Sq-42 St.,manh 1 2 and 3 trains brakes activated,5:51:54,"1, 2, 3",,
31,NYC,PM,BKLYN,brake activation,10/12/2019,10/12/2019 12:46:19 PM,Manhattan-bound R trains are running on the express track from 59 St to Atlantic Av while we investigate why a train's brakes were activated at 36 St.,bklyn r train brake activation,12:46:19,R,,
28,NYC,PM,MANH,brake activation,10/13/2019,10/13/2019 3:29:32 PM,"168 St-bound C trains are delayed while we investigate why a train's brakes were activated at 
Chambers St.",manh c trains brakes activated,3:29:32,C,,
27,NYC,AM,MANH,brake activation,10/13/2019,10/13/2019 9:25:22 AM,Northbound 1 trains are delayed while we investigate why a train's brakes were activated at Houston St.,manh 1 train brake activation,9:25:22,1,,
28,NYC,PM,MANH,brake activation,10/13/2019,10/13/2019 3:29:32 PM,"168 St-bound C trains are delayed while we investigate why a train's brakes were activated at 
Chambers St.",manh c trains brakes activated,3:29:32,C,,
27,NYC,AM,MANH,brake activation,10/13/2019,10/13/2019 9:25:22 AM,Northbound 1 trains are delayed while we investigate why a train's brakes were activated at Houston St.,manh 1 train brake activation,9:25:22,1,,
21,NYC,AM,BKLYN,brake activation,10/14/2019,10/14/2019 6:09:13 AM,"Southbound D, N and R trains are delayed because of a work train that had its brakes activated near 36 St.",bklyn d n and r trains brakes activated,6:09:13,"D, N, R",,
21,NYC,AM,BKLYN,brake activation,10/14/2019,10/14/2019 6:09:13 AM,"Southbound D, N and R trains are delayed because of a work train that had its brakes activated near 36 St.",bklyn d n and r trains brakes activated,6:09:13,"D, N, R",,
23,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 10:16:32 AM,"Northbound D trains are running express from Bay Pkwy to 9 Av while we investigate why a train's brakes were activated at 62 St.

Expect longer waits for northbound D trains.

For service to/from bypassed stations, take a southbound train.",manh d train brakes activated,10:16:32,D,,
48,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 11:29:44 AM,Northbound A and D trains are delayed because a train's brakes were activated at 59 St-Columbus Circle.,manh a and d trains brakes activated,11:29:44,"A, D",,
33,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 8:05:48 AM,Southbound A and C trains are delayed while we investigate a train that had its brakes activated Fulton St.,manh a and c trains brakes activated,8:05:48,"A, C",,
21,NYC,AM,BKLYN,brake activation,10/15/2019,10/15/2019 8:32:47 AM,Southbound F and G trains are proceeding with delays after we moved a train that had its brakes activated at Carroll St.,bklyn f and g trains brakes activated,8:32:47,"F, G",,
7,NYC,PM,BKLYN,brake activation,10/15/2019,10/15/2019 10:11:50 PM,"Coney Island-bound D, N and 95 St-bound R trains are delayed while we investigate why a train had its brakes activated at Union St.",bklyn d n and r trains brakes activated,10:11:50,"D, N, R",,
9,NYC,PM,BKLYN,brake activation,10/15/2019,10/15/2019 4:35:11 PM,"There are delays and service changes in 4 train service while we investigate why a train's brakes were activated at Crown Heights-Utica Av.

4 trains are being extended along the 3 line in both directions between Crown Hts-Utica Av and New Lots Av.

Some southbound 4 trains will end at Brooklyn Bridge-City Hall. 

Expect delays in 3 and 4 train service.",bklyn 4 trains brakes activated,4:35:11,4,,
23,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 10:16:32 AM,"Northbound D trains are running express from Bay Pkwy to 9 Av while we investigate why a train's brakes were activated at 62 St.

Expect longer waits for northbound D trains.

For service to/from bypassed stations, take a southbound train.",manh d train brakes activated,10:16:32,D,,
48,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 11:29:44 AM,Northbound A and D trains are delayed because a train's brakes were activated at 59 St-Columbus Circle.,manh a and d trains brakes activated,11:29:44,"A, D",,
33,NYC,AM,MANH,brake activation,10/15/2019,10/15/2019 8:05:48 AM,Southbound A and C trains are delayed while we investigate a train that had its brakes activated Fulton St.,manh a and c trains brakes activated,8:05:48,"A, C",,
21,NYC,AM,BKLYN,brake activation,10/15/2019,10/15/2019 8:32:47 AM,Southbound F and G trains are proceeding with delays after we moved a train that had its brakes activated at Carroll St.,bklyn f and g trains brakes activated,8:32:47,"F, G",,
7,NYC,PM,BKLYN,brake activation,10/15/2019,10/15/2019 10:11:50 PM,"Coney Island-bound D, N and 95 St-bound R trains are delayed while we investigate why a train had its brakes activated at Union St.",bklyn d n and r trains brakes activated,10:11:50,"D, N, R",,
9,NYC,PM,BKLYN,brake activation,10/15/2019,10/15/2019 4:35:11 PM,"There are delays and service changes in 4 train service while we investigate why a train's brakes were activated at Crown Heights-Utica Av.

4 trains are being extended along the 3 line in both directions between Crown Hts-Utica Av and New Lots Av.

Some southbound 4 trains will end at Brooklyn Bridge-City Hall. 

Expect delays in 3 and 4 train service.",bklyn 4 trains brakes activated,4:35:11,4,,
6,NYC,AM,QNS,brake activation,10/16/2019,10/16/2019 2:05:12 AM,Southbound E and F trains are delayed while we investigate the cause of a train's brakes activating at Woodhaven Blvd.,qns e and f trains brakes activated,2:05:12,"E, F",,
10,NYC,AM,MANH,brake activation,10/16/2019,10/16/2019 8:39:42 AM,Northbound C and E trains are delayed while we investigate why a train's brakes were activated at W 4 St-Washington Sq.,manh c and e trains brakes activated,8:39:42,"C, E",,
49,NYC,PM,MANH,brake activation,10/16/2019,10/16/2019 8:49:58 PM,Southbound B trains are delayed while we investigate why a train's brakes were activated at 145 St.,manh b trains brakes activated,8:49:58,B,,
43,NYC,AM,MANH,brake activation,10/16/2019,10/16/2019 2:22:32 AM,Southbound A trains are delayed while crews investigate the cause of a train's brakes activating at 50 St.,manh a trains brakes activated,2:22:32,A,,
1,NYC,AM,BKLYN,brake activation,10/16/2019,10/16/2019 7:10:27 AM,Southbound Q trains are delayed while we investigate why a train's brakes were activated at DeKalb Av.,bklyn q trains brakes activated,7:10:27,Q,,
11,NYC,AM,BKLYN,brake activation,10/16/2019,10/16/2019 12:34:27 AM,Euclid Av-bound A trains are delayed while we investigate why a trains brakes were activated Hoyt-Schermerhorn Sts.,bklyn a trains brakes activated,12:34:27,A,,
47,NYC,AM,MANH,brake activation,10/17/2019,10/17/2019 8:59:21 AM,Northbound B and D trains are local from W 4 St  to 34 St because a train's brakes were activated at W 4 St.,manh b and d trains brakes activated,8:59:21,"B, D",,
18,NYC,AM,MANH,brake activation,10/17/2019,10/17/2019 2:46:37 AM,Southbound A and E train service has resumed with delays following an earlier train that had it's brakes activated at 14 St.,manh a and e trains earlier train's brakes activated,2:46:37,"A, E",,
18,NYC,PM,MANH,brake activation,10/17/2019,10/17/2019 7:53:35 PM,Southbound A and D trains are running local from 125 St to 59 St-Columbus Circle while we investigate why a train's brakes were activated at 103 St.,manh a and d trains brakes activated,7:53:35,"A, D",,
37,NYC,AM,BX,brake activation,10/17/2019,10/17/2019 9:19:28 AM,Southbound 2 and 5 trains are delayed while we investigate a train that had its brakes activated at E 180 St.,bx 2 and 5 trains brake activation,9:19:28,"2, 5",,
48,NYC,AM,BKLYN,brake activation,10/17/2019,10/17/2019 3:21:35 AM,Jamaica-bound J trains are delayed because of a train's brakes that activated at Broadway Junction.,bklyn j trains brakes activated.,3:21:35,J,,
14,NYC,AM,MANH,brake activation,10/18/2019,10/18/2019 8:52:28 AM,Expect longer waits for northbound Q trains on the Upper East Side and for southbound Q trains in Manhattan and Brooklyn after a train's brakes were activated earlier at Atlantic Av-Barclays Ctr.,manh q train brakes activated,8:52:28,Q,,
23,NYC,PM,MANH,brake activation,10/18/2019,10/18/2019 6:59:19 PM,Northbound 2 and 3 trains are proceeding with delays after we moved a train that had its brakes activated at 34 St-Penn Station.,manh 2 and 3 trains brake activation,6:59:19,"2, 3",,
